Run,Step,Catalyst_ID,Position_X,Position_Y,Manhattan_Distance
2,420,0,5,0,11
2,430,0,5,0,11
2,440,0,5,15,10
2,450,0,5,15,10
2,460,0,5,15,10
2,470,0,5,15,10
2,480,0,5,15,10
2,490,0,5,15,10
2,500,0,5,15,10
2,510,0,5,15,10
2,520,0,5,15,10
2,530,0,5,15,10
2,540,0,5,15,10
2,550,0,5,15,10
2,560,0,5,15,10
2,570,0,5,15,10
2,580,0,5,15,10
2,590,0,5,15,10
2,600,0,5,15,10
2,610,0,5,15,10
2,620,0,5,15,10
2,630,0,5,15,10
2,640,0,5,0,11
2,650,0,5,0,11
2,660,0,5,0,11
2,670,0,5,0,11
2,680,0,5,0,11
2,690,0,5,0,11
2,700,0,5,0,11
2,710,0,5,0,11
2,720,0,5,0,11
